TIPOLOGIA,ESSENZA,UBICAZIONE,LUOGO,CIRCOSCR,VIA,DISPOSIZ,POSIZ,ALTEZZA,DIAMFUSTO,NOTEGENER,TIPOFOGLIA
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,SCHINUS MOLLE,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,SCHINUS MOLLE,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PRUNUS DOMESTICA,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,SCHINUS MOLLE,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,SCHINUS MOLLE,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,SCHINUS MOLLE,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Nino Rota,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PYRUS COMMUNIS,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PYRUS COMMUNIS,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
