CODICE,lon,lat,INDIRIZZO,SPECIE,"NOME
 COMUNE",name
01MCAQi001,18.04863727,40.27182138,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi002,18.0486358,40.27185929,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi003,18.04863505,40.27189344,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi004,18.04863072,40.27194141,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi005,18.04863184,40.27197689,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi006,18.04862143,40.27203165,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi007,18.04862631,40.27206235,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi008,18.04862094,40.27211525,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi009,18.04861842,40.27218246,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi010,18.04861101,40.27227903,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi011,18.04861852,40.27214679,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi012,18.04860831,40.27231508,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi013,18.04860398,40.27240249,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi014,18.04860134,40.27244414,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi015,18.0486008,40.27248682,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi016,18.04873512,40.27229393,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi017,18.04873705,40.2722304,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi018,18.04874182,40.272158,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi019,18.04874146,40.2721235,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi020,18.04874199,40.27208622,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi021,18.04874465,40.27205607,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi022,18.04874649,40.27202138,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi023,18.04874831,40.27199005,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi024,18.0487521,40.27196026,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi025,18.04874788,40.27191936,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi026,18.04875247,40.27189701,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi027,18.04875277,40.27186299,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi028,18.04875337,40.27183197,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi029,18.04875452,40.27178877,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi030,18.04875548,40.27175007,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi031,18.0488107,40.27162931,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi032,18.04889051,40.27164273,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi033,18.04894322,40.271652,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi034,18.04898071,40.27165991,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi035,18.04902925,40.27166692,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi036,18.04907005,40.271674,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi037,18.04914787,40.27169099,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
01MCAQi038,18.0491753,40.2717313,Monumento ai Caduti,Quercus ilex,Leccio,Leccio - Quercus ilex - Monumento ai Caduti
